Data pulled on 10/29/2014 at 20:34:47
username, number of edits, percent of total edits
38.105.157.82,2,0.000256508913685
108.71.113.36,2,0.000256508913685
151.203.248.46,2,0.000256508913685
206.72.67.63,2,0.000256508913685
64.165.230.104,2,0.000256508913685
Rodeosmurf,2,0.000256508913685
72.93.117.165,2,0.000256508913685
Daniel.Cardenas,2,0.000256508913685
121.223.77.38,2,0.000256508913685
159.191.253.196,2,0.000256508913685
76.210.65.128,2,0.000256508913685
207.110.9.182,2,0.000256508913685
72.201.235.38,2,0.000256508913685
Stuttermullet1,2,0.000256508913685
216.186.54.68,2,0.000256508913685
212.219.115.245,2,0.000256508913685
TigerShark,2,0.000256508913685
202.156.6.54,2,0.000256508913685
83d40m,2,0.000256508913685
168.184.241.182,2,0.000256508913685
173.88.114.108,2,0.000256508913685
68.38.18.247,2,0.000256508913685
66.131.118.59,2,0.000256508913685
63.204.178.135,2,0.000256508913685
12.230.122.178,2,0.000256508913685
5 albert square,2,0.000256508913685
Digitalme,2,0.000256508913685
Elliskev,2,0.000256508913685
Rickjames20000,2,0.000256508913685
203.219.20.218,2,0.000256508913685
Lartoven,2,0.000256508913685
189.83.150.171,2,0.000256508913685
71.236.23.122,2,0.000256508913685
38.139.8.183,2,0.000256508913685
24.5.9.220,2,0.000256508913685
BrianGroen,2,0.000256508913685
Securiger,2,0.000256508913685
Chibike94,2,0.000256508913685
2601:9:4200:6B0:DC43:209:F111:1B36,2,0.000256508913685
72.93.142.214,2,0.000256508913685
216.125.50.42,2,0.000256508913685
Yngvadottir,2,0.000256508913685
216.162.93.178,2,0.000256508913685
64.8.132.253,2,0.000256508913685
Arakunem,2,0.000256508913685
Squiddy,2,0.000256508913685
86.136.230.158,2,0.000256508913685
69.37.182.190,2,0.000256508913685
68.39.130.199,2,0.000256508913685
129.215.60.41,2,0.000256508913685
Tabletop,2,0.000256508913685
128.226.162.99,2,0.000256508913685
71.82.127.54,2,0.000256508913685
137.48.219.157,2,0.000256508913685
142.25.126.64,2,0.000256508913685
Moe Epsilon,2,0.000256508913685
Raymondwinn,2,0.000256508913685
70.58.126.29,2,0.000256508913685
72.49.23.115,2,0.000256508913685
70.25.168.90,2,0.000256508913685
24.184.184.130,2,0.000256508913685
209.120.162.31,2,0.000256508913685
98.30.62.207,2,0.000256508913685
210.15.252.8,2,0.000256508913685
76.224.65.184,2,0.000256508913685
Marek69,2,0.000256508913685
76.198.77.187,2,0.000256508913685
Pinethicket,2,0.000256508913685
24.60.173.232,2,0.000256508913685
99.229.76.75,2,0.000256508913685
Bongwarrior,2,0.000256508913685
Beland,2,0.000256508913685
66.45.175.98,2,0.000256508913685
70.172.217.187,2,0.000256508913685
Clarince63,2,0.000256508913685
Mcdennis13,2,0.000256508913685
Cgingold,2,0.000256508913685
Goldentolken,2,0.000256508913685
66.99.250.130,2,0.000256508913685
206.131.123.1,2,0.000256508913685
71.117.93.116,2,0.000256508913685
Anonymous Dissident,2,0.000256508913685
Michael Hardy,2,0.000256508913685
76.172.66.79,2,0.000256508913685
Orthologist,2,0.000256508913685
BP-baller,2,0.000256508913685
209.179.250.51,2,0.000256508913685
202.71.214.11,2,0.000256508913685
204.14.13.53,2,0.000256508913685
199.190.225.40,2,0.000256508913685
65.117.144.103,2,0.000256508913685
Patrug,2,0.000256508913685
99.160.12.98,2,0.000256508913685
71.207.206.169,2,0.000256508913685
ILBobby,2,0.000256508913685
70.94.238.245,2,0.000256508913685
Wdfarmer,2,0.000256508913685
169.139.224.117,2,0.000256508913685
Ja 62,2,0.000256508913685
Bobianite,2,0.000256508913685
66.25.152.95,2,0.000256508913685
24.63.39.151,2,0.000256508913685
WolfmanSF,2,0.000256508913685
DrShane,2,0.000256508913685
216.102.83.74,2,0.000256508913685
72.10.102.3,2,0.000256508913685
Sigma 7,2,0.000256508913685
24.174.6.145,2,0.000256508913685
72.71.68.73,2,0.000256508913685
123.129.81.152,2,0.000256508913685
75.17.100.79,2,0.000256508913685
157.242.213.165,2,0.000256508913685
204.184.233.123,2,0.000256508913685
TheDJ,2,0.000256508913685
81.109.157.172,2,0.000256508913685
99.70.243.38,2,0.000256508913685
75.58.101.210,2,0.000256508913685
24.74.137.162,2,0.000256508913685
Abductive,2,0.000256508913685
DRosenbach,2,0.000256508913685
Iseecowboys,2,0.000256508913685
68.39.174.238,2,0.000256508913685
124.83.24.5,2,0.000256508913685
4.158.231.62,2,0.000256508913685
67.83.190.229,2,0.000256508913685
140.183.63.33,2,0.000256508913685
71.77.208.125,2,0.000256508913685
156.34.224.231,2,0.000256508913685
Stylesjx,2,0.000256508913685
99.59.73.230,2,0.000256508913685
167.191.250.80,2,0.000256508913685
Pgan002,2,0.000256508913685
72.253.231.178,2,0.000256508913685
Eclecticology,2,0.000256508913685
209.32.71.130,2,0.000256508913685
58.168.94.118,2,0.000256508913685
Impsswoon,2,0.000256508913685
209.118.42.98,2,0.000256508913685
Hmrox,2,0.000256508913685
204.98.2.20,2,0.000256508913685
Alphachimp,2,0.000256508913685
Sun Creator,2,0.000256508913685
205.155.15.250,2,0.000256508913685
67.170.215.166,2,0.000256508913685
24.187.233.18,2,0.000256508913685
ExoSuho,2,0.000256508913685
198.237.188.57,2,0.000256508913685
198.237.188.55,2,0.000256508913685
Nciszdabest,2,0.000256508913685
Kaltenmeyer,2,0.000256508913685
70.223.171.224,2,0.000256508913685
66.136.89.119,2,0.000256508913685
24.94.228.119,2,0.000256508913685
24.36.138.113,2,0.000256508913685
74.73.14.225,2,0.000256508913685
Sephiroth BCR,2,0.000256508913685
Bibliomaniac15,2,0.000256508913685
68.45.145.74,2,0.000256508913685
144.118.217.30,2,0.000256508913685
Warm Worm,2,0.000256508913685
58.105.182.163,2,0.000256508913685
65.189.237.147,2,0.000256508913685
216.159.98.230,2,0.000256508913685
Tutelary,2,0.000256508913685
76.66.192.175,2,0.000256508913685
203.94.135.138,2,0.000256508913685
Sludge,2,0.000256508913685
PFHLai,2,0.000256508913685
41.220.68.242,2,0.000256508913685
75.134.159.208,2,0.000256508913685
68.109.83.148,2,0.000256508913685
Art LaPella,2,0.000256508913685
Cjpuffin,2,0.000256508913685
74.59.35.239,2,0.000256508913685
Viriditas,2,0.000256508913685
Pete.clat,2,0.000256508913685
69.249.182.156,2,0.000256508913685
70.88.227.153,2,0.000256508913685
46.7.109.217,2,0.000256508913685
DO'Neil,2,0.000256508913685
CuriousEric,2,0.000256508913685
Ewa5050,2,0.000256508913685
204.61.4.163,2,0.000256508913685
207.252.127.254,2,0.000256508913685
79.154.0.80,2,0.000256508913685
141.106.33.84,2,0.000256508913685
201.184.143.74,2,0.000256508913685
216.20.64.1,2,0.000256508913685
Ameinias,2,0.000256508913685
142.68.117.209,2,0.000256508913685
68.111.105.238,2,0.000256508913685
71.175.28.121,2,0.000256508913685
Widr,2,0.000256508913685
12.158.190.38,2,0.000256508913685
75.30.79.123,2,0.000256508913685
216.186.52.57,2,0.000256508913685
84.92.79.234,2,0.000256508913685
67.161.133.231,2,0.000256508913685
R'n'B,2,0.000256508913685
58.107.225.217,2,0.000256508913685
Guitarguy949,2,0.000256508913685
198.166.41.190,2,0.000256508913685
63.229.224.80,2,0.000256508913685
Bpickett,2,0.000256508913685
216.174.135.166,2,0.000256508913685
Ddluv09,2,0.000256508913685
Scotware,2,0.000256508913685
135.23.184.86,2,0.000256508913685
Power t,2,0.000256508913685
66.193.131.1,2,0.000256508913685
75.147.29.121,2,0.000256508913685
87.82.9.226,2,0.000256508913685
Monosynthluv,2,0.000256508913685
72.151.255.42,2,0.000256508913685
66.133.237.64,2,0.000256508913685
24.4.38.149,2,0.000256508913685
Faradayplank,2,0.000256508913685
Tomtomlily,2,0.000256508913685
68.193.102.121,2,0.000256508913685
Butterz,2,0.000256508913685
68.52.73.134,2,0.000256508913685
69.139.161.74,2,0.000256508913685
Ixfd64,2,0.000256508913685
168.103.210.142,2,0.000256508913685
68.239.168.119,2,0.000256508913685
216.213.252.27,2,0.000256508913685
Welshdragon0586,2,0.000256508913685
Cryptfiend64,2,0.000256508913685
72.201.171.35,2,0.000256508913685
Yamla,2,0.000256508913685
68.187.195.63,2,0.000256508913685
208.3.138.102,2,0.000256508913685
70.150.198.66,2,0.000256508913685
76.6.33.54,2,0.000256508913685
DKMell,2,0.000256508913685
69.229.127.233,2,0.000256508913685
FF2010,2,0.000256508913685
169.139.251.249,2,0.000256508913685
204.38.47.182,2,0.000256508913685
Biosthmors,2,0.000256508913685
207.28.172.6,2,0.000256508913685
BenzolBot,2,0.000256508913685
Mgiganteus1,2,0.000256508913685
2D,2,0.000256508913685
134.154.212.17,2,0.000256508913685
72.145.35.2,2,0.000256508913685
Jayen466,2,0.000256508913685
DiverDave,2,0.000256508913685
CiudadanoGlobal,2,0.000256508913685
24.175.231.211,2,0.000256508913685
41.220.68.59,2,0.000256508913685
209.174.15.139,2,0.000256508913685
72.67.129.249,2,0.000256508913685
216.56.81.146,2,0.000256508913685
206.78.215.158,2,0.000256508913685
