Data pulled on 10/29/2014 at 20:49:03
username, number of edits, percent of total edits
Eroach,1,0.000250941028858
142.66.21.150,1,0.000250941028858
122.177.88.37,1,0.000250941028858
143.117.228.141,1,0.000250941028858
Rmhermen,1,0.000250941028858
24.61.14.247,1,0.000250941028858
71.91.218.178,1,0.000250941028858
Nono64,1,0.000250941028858
Karenjc,1,0.000250941028858
98.169.253.114,1,0.000250941028858
Justplayin,1,0.000250941028858
Dags12,1,0.000250941028858
MaxEnt,1,0.000250941028858
Boothy443,1,0.000250941028858
Lawyerdude,1,0.000250941028858
Johnpacklambert,1,0.000250941028858
95.25.198.131,1,0.000250941028858
83.130.65.169,1,0.000250941028858
98.226.149.53,1,0.000250941028858
195.37.46.73,1,0.000250941028858
Super48paul,1,0.000250941028858
197.243.213.19,1,0.000250941028858
86.7.242.97,1,0.000250941028858
Accurizer,1,0.000250941028858
216.96.189.105,1,0.000250941028858
95.149.100.100,1,0.000250941028858
Eurobas,1,0.000250941028858
BrekekekexKoaxKoax,1,0.000250941028858
75.170.197.90,1,0.000250941028858
173.35.143.247,1,0.000250941028858
24.151.20.108,1,0.000250941028858
Brozozo,1,0.000250941028858
46.5.0.104,1,0.000250941028858
MerlLinkBot,1,0.000250941028858
24.44.102.8,1,0.000250941028858
122.216.181.180,1,0.000250941028858
2602:306:CD9D:D720:C2F8:DAFF:FE8A:DAE9,1,0.000250941028858
Kbdank71,1,0.000250941028858
77.101.133.177,1,0.000250941028858
Paranormal Skeptic,1,0.000250941028858
OverlordQ,1,0.000250941028858
74.12.65.251,1,0.000250941028858
Barkeep49,1,0.000250941028858
Joethedope,1,0.000250941028858
94.138.65.9,1,0.000250941028858
JAnDbot,1,0.000250941028858
117.200.128.228,1,0.000250941028858
128.174.162.81,1,0.000250941028858
76.172.114.52,1,0.000250941028858
The Ungovernable Force,1,0.000250941028858
H2O,1,0.000250941028858
Cazort,1,0.000250941028858
Lihaas,1,0.000250941028858
2001:470:8883:B1:8106:F888:8276:80B7,1,0.000250941028858
24.64.0.111,1,0.000250941028858
89.247.12.212,1,0.000250941028858
76.31.163.112,1,0.000250941028858
216.165.95.70,1,0.000250941028858
Somenumbers102345,1,0.000250941028858
88.196.45.233,1,0.000250941028858
Austinhulk,1,0.000250941028858
205.143.205.150,1,0.000250941028858
208.15.90.2,1,0.000250941028858
Rd232,1,0.000250941028858
Evice,1,0.000250941028858
66.14.116.114,1,0.000250941028858
Alanbly,1,0.000250941028858
4v4l0n42,1,0.000250941028858
100.1.134.28,1,0.000250941028858
195.110.70.55,1,0.000250941028858
67.5.104.253,1,0.000250941028858
142.245.59.10,1,0.000250941028858
91.121.141.100,1,0.000250941028858
24.62.237.16,1,0.000250941028858
98.207.181.114,1,0.000250941028858
JGabbard,1,0.000250941028858
Huggy Patch,1,0.000250941028858
134.173.59.124,1,0.000250941028858
Mbiechler,1,0.000250941028858
2602:306:247D:6879:F405:5F96:B9CB:B890,1,0.000250941028858
Normalityrelief,1,0.000250941028858
202.144.134.242,1,0.000250941028858
AnonymousStrong,1,0.000250941028858
65.103.141.90,1,0.000250941028858
Scoty6776,1,0.000250941028858
Truthbetoldinus,1,0.000250941028858
Oldfellow,1,0.000250941028858
Bluebot,1,0.000250941028858
John of Reading,1,0.000250941028858
208.119.81.1,1,0.000250941028858
75.190.173.190,1,0.000250941028858
206.210.96.165,1,0.000250941028858
Pimchot566,1,0.000250941028858
125.237.19.180,1,0.000250941028858
A. Carty,1,0.000250941028858
96.49.191.248,1,0.000250941028858
Josve05a,1,0.000250941028858
LaFoiblesse,1,0.000250941028858
202.253.138.251,1,0.000250941028858
70.181.126.200,1,0.000250941028858
98.223.105.235,1,0.000250941028858
75.74.101.41,1,0.000250941028858
64.235.102.130,1,0.000250941028858
BeBoldInEdits,1,0.000250941028858
Proofreader77,1,0.000250941028858
88.50.53.147,1,0.000250941028858
72.25.76.17,1,0.000250941028858
Whobot,1,0.000250941028858
SlimVirgin,1,0.000250941028858
Nbumbic,1,0.000250941028858
83.92.182.5,1,0.000250941028858
Fankhadb,1,0.000250941028858
Hjf,1,0.000250941028858
216.221.72.74,1,0.000250941028858
Sean D Martin,1,0.000250941028858
204.195.74.229,1,0.000250941028858
207.112.87.116,1,0.000250941028858
94.0.70.241,1,0.000250941028858
65.71.245.81,1,0.000250941028858
67.212.104.145,1,0.000250941028858
